PathID,PathName,SWCType,PrimaryPath,PathLength,PathLengthUnits,StartsOnPath,ConnectedPathIDs,ChildPathIDs,StartX,StartY,StartZ,EndX,EndY,EndZ,ApproximateFittedVolume
1,"Path (1)",undefined,true,77.65738173151782,µm,,,,417.0950667352107,358.7850574056092,223.72,451.01007216161156,289.17004626720745,220.14999999999998,NaN
2,"Path (2)",undefined,true,86.11696501673524,µm,,,,414.7150663544107,358.7850574056092,223.72,453.39007254241164,282.03004512480726,220.14999999999998,NaN
3,"Path (3)",undefined,true,112.06435598337151,µm,,,,414.7150663544107,358.7850574056092,221.34,464.1000742560119,258.23004131680665,220.14999999999998,NaN
4,"Path (4)",undefined,true,142.76676681211092,µm,,,,412.3350659736106,358.7850574056092,220.14999999999998,474.8100759696122,230.86003693760594,218.95999999999998,NaN
5,"Path (5)",undefined,true,139.87616952601456,µm,,,,413.52506616401064,359.97505759600926,218.95999999999998,479.57007673121234,236.8100378896061,217.76999999999998,NaN
6,"Path (6)",undefined,true,172.2703778210607,µm,,,,409.9550655928105,356.40505702480914,217.76999999999998,492.6600788256127,205.8700329392053,220.14999999999998,NaN
7,"Path (7)",undefined,true,182.70089971699755,µm,,,,408.7650654024105,356.40505702480914,215.39,493.85007901601267,195.16003122560502,215.39,NaN
8,"Path (8)",undefined,true,195.86875434503528,µm,,,,408.7650654024105,355.21505683440915,213.01,499.8000799680128,182.07002913120468,214.2,NaN
9,"Path (9)",undefined,true,217.84208094027662,µm,,,,408.7650654024105,358.7850574056092,209.44,506.940081110413,165.41002646560426,209.44,NaN
10,"Path (10)",undefined,true,236.33626333313038,µm,,,,409.9550655928105,356.40505702480914,204.67999999999998,517.6500828240133,147.5600236096038,208.25,NaN
11,"Path (11)",undefined,true,261.0479485324874,µm,,,,408.7650654024105,355.21505683440915,198.73,523.6000837760134,126.14002018240325,191.59,NaN
12,"Path (12)",undefined,true,259.6717388097825,µm,,,,408.7650654024105,354.0250566440091,189.20999999999998,518.8400830144134,122.57001961120315,186.82999999999998,NaN
13,"Path (13)",undefined,true,282.88750841943215,µm,,,,404.00506464081036,346.8850555016089,179.69,521.2200833952134,97.58001561280251,167.79,NaN
14,"Path (14)",undefined,true,298.8137062651804,µm,,,,394.48506311761014,346.8850555016089,158.26999999999998,521.2200833952134,89.25001428000229,145.18,NaN
15,"Path (15)",undefined,true,317.8940774702334,µm,,,,395.6750633080102,345.6950553112089,143.98999999999998,520.0300832048133,67.83001085280175,132.09,NaN
16,"Path (16)",undefined,true,289.04510795881924,µm,,,,389.72506235601,343.31505493040885,128.51999999999998,506.940081110413,96.39001542240247,135.66,NaN
17,"Path (17)",undefined,true,261.0369086461062,µm,,,,386.1550617848099,340.93505454960876,120.19,499.8000799680128,113.0500180880029,129.71,NaN
18,"Path (18)",undefined,true,265.5549956699766,µm,,,,383.7750614040099,339.7450543592087,115.42999999999999,504.560080729613,110.67001770720285,122.57,NaN
19,"Path (19)",undefined,true,244.6204723111142,µm,,,,379.01506064240976,338.5550541688087,108.28999999999999,487.9000780640125,128.5200205632033,123.75999999999999,NaN
20,"Path (20)",undefined,true,242.14050999849823,µm,,,,380.20506083280975,337.3650539784087,109.47999999999999,493.85007901601267,126.14002018240325,121.38,NaN
21,"Path (21)",undefined,true,249.2769397054897,µm,,,,382.58506121360983,342.1250547400088,110.67,493.85007901601267,121.38001942080312,116.61999999999999,NaN
22,"Path (22)",undefined,true,234.94230822207822,µm,,,,384.9650615944099,340.93505454960876,122.57,497.4200795872128,135.6600217056035,135.66,NaN
23,"Path (23)",undefined,true,253.5045248822778,µm,,,,383.7750614040099,339.7450543592087,123.75999999999999,506.940081110413,120.1900192304031,123.75999999999999,NaN
24,"Path (24)",undefined,true,257.69223917341634,µm,,,,383.7750614040099,339.7450543592087,126.14,505.750080920013,115.43001846880297,130.9,NaN
25,"Path (25)",undefined,true,243.7829679236291,µm,,,,390.91506254641007,337.3650539784087,136.85,508.13008130081306,124.9500199920032,132.09,NaN
26,"Path (26)",undefined,true,252.41697548121223,µm,,,,389.72506235601,339.7450543592087,121.38,500.99008015841287,123.76001980160318,122.57,NaN
27,"Path (27)",undefined,true,248.781972170067,µm,,,,387.34506197520994,338.5550541688087,133.28,502.1800803488129,121.38001942080312,115.42999999999999,NaN
28,"Path (28)",undefined,true,285.5207273945247,µm,,,,392.10506273681005,336.17505378800865,129.71,511.70008187201313,78.54001256640201,114.24,NaN
29,"Path (29)",undefined,true,313.3003999683441,µm,,,,382.58506121360983,330.2250528360085,134.47,518.8400830144134,52.360008377601346,107.1,NaN
30,"Path (30)",undefined,true,306.50508492098686,µm,,,,384.9650615944099,336.17505378800865,119.0,517.6500828240133,61.88000990080159,108.28999999999999,NaN
31,"Path (31)",undefined,true,277.8428126685213,µm,,,,373.0650596904096,326.6550522648084,132.09,508.13008130081306,91.63001466080236,107.1,NaN
