PathID,PathName,SWCType,PrimaryPath,PathLength,PathLengthUnits,StartsOnPath,ConnectedPathIDs,ChildPathIDs,StartX,StartY,StartZ,EndX,EndY,EndZ,ApproximateFittedVolume
1,"Path (1)",undefined,true,75.57886872977949,µm,,,,332.6050532168085,351.645056263209,254.66,395.08006321281016,309.40004950400794,255.85,NaN
2,"Path (2)",undefined,true,83.71966111634593,µm,,,,332.6050532168085,359.97505759600926,253.47,399.84006397441027,310.590049694408,257.03999999999996,NaN
3,"Path (3)",undefined,true,95.2047193148831,µm,,,,336.17505378800865,359.97505759600926,257.03999999999996,405.7900649264104,295.1200472192076,257.03999999999996,NaN
4,"Path (4)",undefined,true,117.36226583472939,µm,,,,330.2250528360085,357.5950572152092,251.08999999999997,424.8300679728109,289.17004626720745,260.61,NaN
5,"Path (5)",undefined,true,127.32246889403616,µm,,,,331.41505302640854,357.5950572152092,251.08999999999997,433.1600693056111,282.03004512480726,258.22999999999996,NaN
6,"Path (6)",undefined,true,129.0930678057592,µm,,,,333.79505340720857,357.5950572152092,252.28,434.35006949601114,277.27004436320715,258.22999999999996,NaN
7,"Path (7)",undefined,true,142.99898318699053,µm,,,,331.41505302640854,361.1650577864093,254.66,443.8700710192114,273.700043792007,264.18,NaN
8,"Path (8)",undefined,true,154.74551425118352,µm,,,,331.41505302640854,362.3550579768093,251.08999999999997,451.01007216161156,265.37004245920684,264.18,NaN
9,"Path (9)",undefined,true,146.62047873585868,µm,,,,331.41505302640854,358.7850574056092,252.28,446.25007140001145,268.9400430304069,264.18,NaN
10,"Path (10)",undefined,true,154.08905214508107,µm,,,,336.17505378800865,357.5950572152092,246.32999999999998,452.2000723520116,258.23004131680665,260.61,NaN
11,"Path (11)",undefined,true,179.44555980965814,µm,,,,331.41505302640854,361.1650577864093,247.51999999999998,467.67007482721203,246.33003941280634,261.8,NaN
12,"Path (12)",undefined,true,176.4619377482378,µm,,,,333.79505340720857,350.455056072809,241.57,470.05007520801206,241.5700386512062,264.18,NaN
13,"Path (13)",undefined,true,202.42559764292199,µm,,,,330.2250528360085,354.0250566440091,238.0,484.33007749281245,226.1000361760058,261.8,NaN
