PathID,PathName,SWCType,PrimaryPath,PathLength,PathLengthUnits,StartsOnPath,ConnectedPathIDs,ChildPathIDs,StartX,StartY,StartZ,EndX,EndY,EndZ,ApproximateFittedVolume
1,"Path (1)",undefined,true,84.14992760535876,µm,,,,311.185049789608,279.05504464880715,254.66,371.28005940480955,337.96005407360866,254.66,NaN
2,"Path (2)",undefined,true,101.87194005674587,µm,,,,313.5650501704081,275.4850440776071,254.66,383.18006130880985,349.86005597760897,254.66,NaN
3,"Path (3)",undefined,true,105.26940086226455,µm,,,,308.8050494088079,281.43504502960724,251.08999999999997,383.18006130880985,354.62005673920913,257.03999999999996,NaN
4,"Path (4)",undefined,true,103.62171621087121,µm,,,,309.99504959920796,282.6250452200073,252.28,387.94006207040997,349.86005597760897,261.8,NaN
5,"Path (5)",undefined,true,118.64679481362919,µm,,,,311.185049789608,274.29504388720704,248.70999999999998,395.08006321281016,357.00005712000916,255.85,NaN
6,"Path (6)",undefined,true,136.24005614067357,µm,,,,314.75505036080807,274.29504388720704,253.47,410.55006568801053,370.0900592144095,266.56,NaN
7,"Path (7)",undefined,true,128.2369254395526,µm,,,,314.75505036080807,274.29504388720704,255.85,404.6000647360104,365.3300584528094,262.99,NaN
8,"Path (8)",undefined,true,137.7469361423466,µm,,,,313.5650501704081,277.8650444584071,253.47,410.55006568801053,374.8500599760096,260.61,NaN
9,"Path (9)",undefined,true,143.64081521805034,µm,,,,318.3250509320082,277.8650444584071,249.89999999999998,415.31006644961064,381.9900611184098,261.8,NaN
10,"Path (10)",undefined,true,153.58150364721925,µm,,,,315.9450505512081,274.29504388720704,248.70999999999998,420.0700672112108,385.5600616896099,261.8,NaN
11,"Path (11)",undefined,true,172.11132894734192,µm,,,,317.13505074160815,276.6750442680071,246.32999999999998,436.7300698768112,397.4600635936102,266.56,NaN
12,"Path (12)",undefined,true,156.4312674646422,µm,,,,315.9450505512081,277.8650444584071,240.38,423.6400677824109,387.94006207040997,264.18,NaN
13,"Path (13)",undefined,true,207.89235864148156,µm,,,,319.51505112240824,277.8650444584071,239.19,460.53007368481184,424.8300679728109,266.56,NaN
14,"Path (14)",undefined,true,215.3451042426831,µm,,,,313.5650501704081,275.4850440776071,235.61999999999998,464.1000742560119,426.02006816321096,260.61,NaN
15,"Path (15)",undefined,true,237.2073100789523,µm,,,,314.75505036080807,280.2450448392072,228.48,483.1400773024124,443.8700710192114,245.14,NaN
16,"Path (16)",undefined,true,258.0489268608668,µm,,,,312.37504998000804,277.8650444584071,227.29,495.0400792064127,454.5800727328117,236.81,NaN
