PathID,PathName,SWCType,PrimaryPath,PathLength,PathLengthUnits,StartsOnPath,ConnectedPathIDs,ChildPathIDs,StartX,StartY,StartZ,EndX,EndY,EndZ,ApproximateFittedVolume
1,Path (1),undefined,TRUE,82.18171542,µm,,,,265.9650426,273.1050437,270.13,337.9600541,308.2100493,283.22,NaN
2,Path (2),undefined,TRUE,99.7951439,µm,,,,268.3450429,280.2450448,274.89,361.7600579,312.9700501,285.6,NaN
3,Path (3),undefined,TRUE,94.80344917,µm,,,,268.3450429,283.8150454,272.51,355.8100569,318.920051,282.03,NaN
4,Path (4),undefined,TRUE,112.7313606,µm,,,,264.7750424,279.0550446,266.56,367.7100588,322.4900516,279.65,NaN
5,Path (5),undefined,TRUE,112.9425346,µm,,,,271.9150435,280.2450448,260.61,371.2800594,328.4400526,278.46,NaN
6,Path (6),undefined,TRUE,121.5087165,µm,,,,268.3450429,277.8650445,253.47,376.0400602,324.870052,276.08,NaN
7,Path (7),undefined,TRUE,157.5662898,µm,,,,267.1550427,280.2450448,252.28,406.9800651,342.7200548,286.79,NaN
8,Path (8),undefined,TRUE,160.0146883,µm,,,,268.3450429,279.0550446,248.71,409.3600655,343.910055,285.6,NaN
9,Path (9),undefined,TRUE,163.7913746,µm,,,,267.1550427,277.8650445,243.95,408.1700653,348.6700558,284.41,NaN
10,Path (10),undefined,TRUE,184.1417143,µm,,,,273.1050437,276.6750443,239.19,431.9700691,355.8100569,286.79,NaN
11,Path (11),undefined,TRUE,181.5826638,µm,,,,281.435045,279.0550446,240.38,439.1100703,355.8100569,285.6,NaN
12,Path (12),undefined,TRUE,208.6463387,µm,,,,277.8650445,277.8650445,236.81,456.9600731,370.0900592,286.79,NaN
13,Path (13),undefined,TRUE,204.9729812,µm,,,,275.4850441,280.2450448,230.86,451.0100722,367.7100588,287.98,NaN
14,Path (14),undefined,TRUE,244.1580163,µm,,,,274.2950439,275.4850441,227.29,483.1400773,385.5600617,286.79,NaN
15,Path (15),undefined,TRUE,227.1123712,µm,,,,283.8150454,287.385046,223.72,479.5700767,383.1800613,285.6,NaN
16,Path (16),undefined,TRUE,203.523545,µm,,,,286.1950458,289.7650464,234.43,464.1000743,377.2300604,276.08,NaN
17,Path (17),undefined,TRUE,245.8364068,µm,,,,275.4850441,282.6250452,203.49,486.7100779,386.7500619,268.94,NaN
18,Path (18),undefined,TRUE,260.068977,µm,,,,277.8650445,286.1950458,211.82,506.9400811,397.4600636,261.8,NaN
19,Path (20),undefined,TRUE,232.6058672,µm,,,,274.2950439,288.5750462,201.11,477.1900764,383.1800613,262.99,NaN
20,Path (21),undefined,TRUE,248.5095525,µm,,,,275.4850441,285.0050456,207.06,489.0900783,401.0300642,257.04,NaN
21,Path (22),undefined,TRUE,234.9511625,µm,,,,267.1550427,282.6250452,205.87,470.0500752,391.5100626,251.09,NaN
22,Path (23),undefined,TRUE,221.2467415,µm,,,,265.9650426,285.0050456,198.73,448.6300718,384.3700615,248.71,NaN
23,Path (24),undefined,TRUE,215.5464421,µm,,,,267.1550427,282.6250452,204.68,449.820072,381.9900611,241.57,NaN
24,Path (25),undefined,TRUE,220.4288757,µm,,,,267.1550427,283.8150454,202.3,456.9600731,379.6100607,240.38,NaN
25,Path (26),undefined,TRUE,216.5329922,µm,,,,267.1550427,280.2450448,202.3,451.0100722,383.1800613,239.19,NaN
26,Path (27),undefined,TRUE,228.1102938,µm,,,,265.9650426,282.6250452,201.11,454.5800727,381.9900611,255.85,NaN
27,Path (28),undefined,TRUE,211.4764236,µm,,,,262.395042,285.0050456,214.2,449.820072,376.0400602,239.19,NaN
28,Path (29),undefined,TRUE,235.2200467,µm,,,,264.7750424,282.6250452,202.3,468.860075,383.1800613,242.76,NaN
29,Path (30),undefined,TRUE,258.4208799,µm,,,,265.9650426,282.6250452,208.25,490.2800784,395.0800632,247.52,NaN
30,Path (31),undefined,TRUE,265.5157509,µm,,,,263.5850422,283.8150454,210.63,496.2300794,401.0300642,254.66,NaN
31,Path (32),undefined,TRUE,251.2185797,µm,,,,264.7750424,286.1950458,214.2,487.9000781,386.7500619,260.61,NaN
32,Path (33),undefined,TRUE,249.448205,µm,,,,267.1550427,283.8150454,214.2,486.7100779,387.9400621,261.8,NaN
33,Path (34),undefined,TRUE,252.1942963,µm,,,,268.3450429,287.385046,204.68,485.5200777,392.7000628,265.37,NaN
34,Path (35),undefined,TRUE,216.0549932,µm,,,,270.7250433,283.8150454,213.01,455.7700729,372.4700596,273.7,NaN
35,Path (36),undefined,TRUE,244.7826277,µm,,,,268.3450429,281.435045,210.63,477.1900764,390.3200625,272.51,NaN
36,Path (37),undefined,TRUE,263.6399302,µm,,,,267.1550427,282.6250452,216.58,497.4200796,392.7000628,267.75,NaN
37,Path (38),undefined,TRUE,265.0479403,µm,,,,268.3450429,281.435045,215.39,496.2300794,392.7000628,265.37,NaN
