"{0.5, 0.73377294}","{0.5, 1.0129519}","{0.5, 0.92682298}","{0.5, 0.87591502}","{0.5, 1.36466286}","{0.5, 0.27861135}","{0.5, 1.36313189}","{0.5, 0.30158088}","{0.5, 0.89302328}","{0.5, 0.30821065}","{0.5, 2.93448299}","{0.5, 1.36543978}","{0.5, 0.44851357}","{0.5, 1.35748035}"
"{1., 1.54133345}","{1., 0.92103467}","{1., 0.89922532}","{1., 0.703787}","{1., 1.42541262}","{1., 0.92748544}","{1., 1.72865049}","{1., 0.84241586}","{1., 0.5203073}","{1., 0.0956916}","{1., 3.36656467}","{1., 1.79929898}","{1., 2.10066509}","{1., 2.86006857}"
"{2., 1.969572}","{2., 1.87757318}","{2., 1.47264988}","{2., 1.19422671}","{2., 1.71897123}","{2., 0.86180109}","{2., 1.7243633}","{2., 1.08477557}","{2., 0.76425844}","{2., 0.85682983}","{2., 4.75508927}","{2., 2.15472801}","{2., 3.55106276}","{2., 2.41956184}"
"{4., 2.2564585}","{4., 2.335424}","{4., 2.42295321}","{4., 1.92502253}","{4., 2.55428022}","{4., 1.55011703}","{4., 2.13221748}","{4., 1.56984338}","{4., 1.22488275}","{4., 1.23387558}","{4., 8.61213633}","{4., 1.53599566}","{4., 2.94866285}","{4., 6.49964038}"
"{8., 3.75005198}","{8., 3.78719097}","{8., 2.72498986}","{8., 3.03969608}","{8., 4.62591556}","{8., 2.04368867}","{8., 3.916539}","{8., 2.4096854}","{8., 1.94053617}","{8., 2.02642567}","{8., 11.25112097}","{8., 1.85604484}","{8., 3.119373}","{8., 9.73338354}"
"{16., 6.14978404}","{16., 7.02833195}","{16., 4.49474616}","{16., 4.36859627}","{16., 6.90158022}","{16., 3.56907402}","{16., 5.77228626}","{16., 4.32767488}","{16., 3.22674426}","{16., 3.85911671}","{16., 19.21944199}","{16., 2.60738153}","{16., 8.95248189}","{16., 12.35230174}"
"{32., 9.51079819}","{32., 11.67784176}","{32., 6.90868205}","{32., 6.6847519}","{32., 9.09735647}","{32., 6.17631122}","{32., 8.83625675}","{32., 7.47434901}","{32., 5.1639337}","{32., 5.81039126}","{32., 31.82426148}","{32., 6.17663866}","{32., 13.20487717}","{32., 23.30257861}"
"{64., 13.17073119}","{64., 17.43542941}","{64., 10.75695338}","{64., 12.20208069}","{64., 15.9046659}","{64., 9.11296848}","{64., 15.13012632}","{64., 11.6460879}","{64., 8.76615773}","{64., 8.27795194}","{64., 45.3165465}","{64., 10.75605602}","{64., 20.66831588}","{64., 31.8500948}"
"{128., 25.20171371}","{128., 31.4375834}","{128., 16.69936834}","{128., 22.63068918}","{128., 24.270554}","{128., 14.43822991}","{128., 24.36282144}","{128., 19.05880405}","{128., 16.56140667}","{128., 13.58753377}","{128., 84.77315189}","{128., 14.72501524}","{128., 45.85162096}","{128., 56.07553384}"
"{256., 38.65963354}","{256., 47.92955857}","{256., 26.30144065}","{256., 56.95178583}","{256., 36.25637662}","{256., 33.22600199}","{256., 41.81442103}","{256., 33.07266492}","{256., 31.76505119}","{256., 24.46777948}","{256., 110.39497793}","{256., 28.41514407}","{256., 75.62094159}","{256., 87.02427385}"
"{512., 62.55928268}","{512., 67.10789945}","{512., 45.46835221}","{512., 129.22925052}","{512., 60.09406953}","{512., 57.60204878}","{512., 75.7414214}","{512., 57.02484025}","{512., 60.3510284}","{512., 47.20831457}","{512., 257.97390086}","{512., 52.26140555}","{512., 111.74543737}","{512., 161.96273804}"
"{1028., 106.2261163}","{1028., 128.05384389}","{1028., 77.57631954}","{1028., 139.89283922}","{1028., 112.94392334}","{1028., 83.59322673}","{1028., 135.35084732}","{1028., 103.27950566}","{1028., 124.10121089}","{1028., 81.39296611}","{1028., 407.41059561}","{1028., 89.19007357}","{1028., 183.70031128}","{1028., 279.74389374}"
"{2048., 202.06568663}","{2048., 251.22538477}","{2048., 128.7692657}","{2048., 283.49856352}","{2048., 219.77781776}","{2048., 151.26662497}","{2048., 263.93006747}","{2048., 174.36994958}","{2048., 212.41682483}","{2048., 141.19890624}","{2048., 836.77348279}","{2048., 66.50227528}","{2048., 358.71016327}","{2048., 428.60816342}"
"{4096., 273.66230123}","{4096., 411.61871028}","{4096., 205.25076177}","{4096., 482.82489525}","{4096., 316.52055474}","{4096., 248.87212971}","{4096., 434.4673566}","{4096., 274.1958664}","{4096., 311.52716549}","{4096., 270.81370457}","{4096., 848.86163541}","{4096., 101.38054164}","{4096., 577.04533316}","{4096., 749.35845811}"
"{6250., 357.27045937}","{6250., 492.16875313}","{6250., 227.04582755}","{6250., 617.00275178}","{6250., 415.99088497}","{6250., 295.43000692}","{6250., 455.99616802}","{6250., 308.73687641}","{6250., 404.33241023}","{6250., 310.12502397}","{6250., 3340.97225233}","{6250., -7.26367468}","{6250., 678.23883264}","{6250., 719.66607856}"
